"시설번호","지역코드","시설일련번호","시도명","시군구명","수용시설명","도로명주소코드","법정동코드","행정동코드","상세주소","시설면적","경도","위도","X좌표","Y좌표"
"9775","1174000000","45","서울특별시","강동구","명일공원(상일동산)","","1174010300","1174010300","서울특별시 강동구 상일동 184-0","800","127.165573","37.549079","214631.326307","549964.154418"
"9776","1174000000","46","서울특별시","강동구","성내하니공원","","1174010800","1174010800","서울특별시 강동구 성내동 533-0","2850","127.126703","37.529802","211199.286412","547819.310144"
"9777","1174000000","42","서울특별시","강동구","천호공원광장","","1174010900","1174010900","서울특별시 강동구 천호동 360-0","1300","127.126437","37.544513","211173.633464","549451.994095"
"9785","1162000000","50","서울특별시","관악구","군인아파트 어린이공원","","1162010300","1162010300","서울특별시 관악구 남현동 602-143","817","126.978962","37.471858","198138.974590","541380.916392"
"9786","1165000000","61","서울특별시","서초구","새말어린이공원","","1165010100","1165010100","서울특별시 서초구 방배동 794-16","853","126.988614","37.493331","198993.112218","543764.041634"
"9787","1165000000","70","서울특별시","서초구","가꿀공원","","1165010100","1165010100","서울특별시 서초구 방배동 859-1","795","126.987571","37.487972","198900.779327","543169.278860"
"9788","1165000000","68","서울특별시","서초구","동덕어린이공원","","1165010100","1165010100","서울특별시 서초구 방배동 593-43","831","126.993717","37.475540","199444.214963","541789.459545"
"9789","1165000000","34","서울특별시","서초구","양재근린공원","","1165010200","1165010200","서울특별시 서초구 양재동 311","32582","127.042646","37.471502","203772.431703","541342.098919"
"9790","1165000000","46","서울특별시","서초구","싸리재공원","","1165010600","1165010600","서울특별시 서초구 잠원동 30-10","991","127.018227","37.513346","201611.418332","545985.532976"
"9791","1165000000","47","서울특별시","서초구","명주근린공원","","1165010600","1165010600","서울특별시 서초구 잠원동 50-4","4952","127.015168","37.517175","201340.891899","546410.492768"
"9792","1165000000","48","서울특별시","서초구","신동근린공원","","1165010600","1165010600","서울특별시 서초구 잠원동 58-14","6265","127.013747","37.514091","201215.352352","546068.148251"
"9793","1165000000","59","서울특별시","서초구","청룡어린이공원","","1165010700","1165010700","서울특별시 서초구 반포동 86-1","1010","126.999696","37.495872","199973.142244","544046.015322"
"9794","1165000000","57","서울특별시","서초구","서래골근린공원","","1165010700","1165010700","서울특별시 서초구 반포동 63-2","4512","127.003055","37.501469","200270.099050","544667.146043"
"9795","1165000000","39","서울특별시","서초구","분토골어린이공원","","1165010800","1165010800","서울특별시 서초구 서초동 1627-4","587","127.017458","37.488375","201543.970254","543214.038980"
"9796","1165000000","40","서울특별시","서초구","용허리근린공원","","1165010800","1165010800","서울특별시 서초구 서초동 1324-1","4580","127.023280","37.494286","202058.688433","543870.176138"
"9797","1165000000","42","서울특별시","서초구","사도감어린이공원","","1165010800","1165010800","서울특별시 서초구 서초동 1359-12","642","127.031320","37.485717","202770.002670","542919.378753"
"9798","1165000000","41","서울특별시","서초구","마산말어린이공원","","1165010800","1165010800","서울특별시 서초구 서초동 1343-8","802","127.026723","37.487153","202363.408172","543078.652099"
"9799","1165000000","76","서울특별시","서초구","본마을공원","","1165011100","1165011100","서울특별시 서초구 신원동 445","930","127.053096","37.454667","204697.837654","539474.095052"
"9800","1168000000","110","서울특별시","강남구","역삼소나무공원","","1168010100","1168010100","서울특별시 강남구 역삼동 836-21","987","127.033699","37.490979","202980.235251","543503.460027"
